T,v,vw,o,c,h,l,t,n
TTMI,394280.0,16.1078,15.96,16.08,16.335,15.96,1673298000000,5416.0
OEC,485157.0,19.0627,18.67,18.98,19.43,18.45,1673298000000,8130.0
USDU,642813.0,25.8745,25.92,25.88,25.95,25.8204,1673298000000,2417.0
BWXT,389669.0,57.4657,58.15,57.28,58.18,57.025,1673298000000,7325.0
WRB,1298028.0,73.2759,74.29,72.98,74.38,72.59,1673298000000,15947.0
WIW,161653.0,9.4369,9.38,9.48,9.5,9.35,1673298000000,983.0
MMIT,135725.0,24.4352,24.44,24.45,24.46,24.39,1673298000000,603.0
MTG,3840966.0,12.7633,12.78,12.71,12.975,12.67,1673298000000,19098.0
ELVT,123090.0,1.794,1.78,1.81,1.81,1.78,1673298000000,233.0
ASG,191632.0,5.0731,5.08,5.06,5.13,5.03,1673298000000,954.0
IDOG,45387.0,26.7195,26.68,26.5555,26.78,26.555,1673298000000,99.0
ESNT,329384.0,38.5945,38.67,38.29,39.155,38.25,1673298000000,5820.0
DCF,18330.0,7.3376,7.3,7.37,7.39,7.2501,1673298000000,153.0
KORU,620081.0,9.5026,9.49,9.39,9.7,9.35,1673298000000,3604.0
ERX,1348852.0,67.1425,68.57,66.0,68.66,65.5656,1673298000000,12074.0
JEF,1599585.0,37.7942,37.23,37.75,38.23,37.23,1673298000000,20100.0
GLP,113064.0,32.1502,32.06,31.7,32.55,31.7,1673298000000,1664.0
KNSW,530.0,10.18,10.18,10.18,10.18,10.18,1673298000000,3.0
FLGR,40625.0,20.83,20.79,20.72,20.85,20.705,1673298000000,39.0
BLDG,6662.0,26.5141,26.53,26.3801,26.53,26.3801,1673298000000,70.0
OLP,56929.0,23.1099,23.04,23.07,23.26,22.8,1673298000000,955.0
MTVC.U,898.0,10.2656,10.27,10.26,10.27,10.26,1673298000000,6.0
IBDP,564919.0,24.5552,24.55,24.52,24.57,24.5,1673298000000,1496.0
FTI,5208984.0,12.5502,12.61,12.38,12.95,12.305,1673298000000,34282.0
VLU,9368.0,143.6026,143.86,142.9608,144.6699,142.92,1673298000000,152.0
CDAK,103999.0,0.5215,0.5177,0.53,0.541,0.4931,1673298000000,264.0
EPR,552025.0,37.3479,37.15,37.14,37.92,37.05,1673298000000,8274.0
DY,322009.0,96.2211,96.31,95.09,98.3,94.95,1673298000000,7619.0
RS,309942.0,207.1976,209.45,205.69,210.355,204.54,1673298000000,10472.0
ELV,1254681.0,474.1561,476.96,470.71,482.79,469.69,1673298000000,28159.0
INSM,1782800.0,18.2203,18.29,17.79,19.11,17.7301,1673298000000,20715.0
SPYG,3022892.0,51.2602,51.09,50.7,51.55,50.655,1673298000000,13672.0
VERX,177136.0,13.0957,12.62,12.99,13.365,12.62,1673298000000,3877.0
CXH,11459.0,7.329,7.28,7.32,7.36,7.28,1673298000000,54.0
FFC,217019.0,16.1148,16.39,16.04,16.4,15.91,1673298000000,1034.0
MTN,426685.0,252.3769,248.68,252.24,253.66,246.68,1673298000000,10467.0
CGA,7492.0,4.1831,4.22,4.21,4.27,4.08,1673298000000,86.0
SNDR,734172.0,24.6885,24.29,24.63,24.96,24.28,1673298000000,7310.0
BORR,1354458.0,5.2888,5.29,5.28,5.445,5.17,1673298000000,7601.0
DAX,21949.0,27.4343,27.34,27.36,27.56,27.28,1673298000000,139.0
RGT,1458.0,9.134,9.1,9.09,9.18,9.08,1673298000000,26.0
XCCC,2406.0,37.4832,37.45,37.54,37.54,37.45,1673298000000,6.0
NCLH,16698648.0,13.6488,13.23,13.78,13.88,13.12,1673298000000,79425.0
AAU,291707.0,0.2604,0.2602,0.2556,0.2694,0.2516,1673298000000,619.0
EWO,28510.0,20.0765,20.12,19.98,20.15,19.98,1673298000000,176.0
TRI,329315.1429,121.0769,121.1363,120.483,121.9556,120.3481,1673298000000,6368.0
VOT,155670.0,183.4183,182.37,182.3,184.4799,181.77,1673298000000,2722.0
PBA,408583.0,34.6409,34.51,34.57,34.84,34.45,1673298000000,9517.0
SGHC,513902.0,3.0311,3.09,2.95,3.24,2.89,1673298000000,2819.0
NSL,165602.0,4.7258,4.72,4.72,4.75,4.7,1673298000000,933.0
CRNT,228298.0,2.1237,2.04,2.13,2.16,2.04,1673298000000,1210.0
PFIX,566340.0,62.2261,63.89,61.95,64.0899,61.15,1673298000000,4703.0
PSNL,422768.0,2.3519,2.36,2.36,2.4,2.26,1673298000000,3680.0
NGD,1931554.0,1.1037,1.12,1.09,1.14,1.08,1673298000000,4058.0
MSDA,328883.0,10.1303,10.6,10.12,10.6,10.12,1673298000000,28.0
MCK,1092416.0,385.5015,385.98,381.96,391.49,381.96,1673298000000,26947.0
NVG,714572.0,12.1369,12.07,12.14,12.21,12.07,1673298000000,2374.0
BULZ,868557.0,24.6976,23.8,23.91,25.36,23.64,1673298000000,11807.0
SEALpB,8226.0,23.1128,23.46,23.0774,23.46,22.96,1673298000000,53.0
KROS,137483.0,46.6018,47.9,46.39,48.69,45.5,1673298000000,4549.0
PED,198615.0,1.1234,1.07,1.1216,1.15,1.07,1673298000000,674.0
SGOV,9842439.0,100.2,100.2,100.21,100.21,100.19,1673298000000,3454.0
AHCO,428082.0,19.8067,19.82,19.72,20.015,19.7,1673298000000,7138.0
RWT,641284.0,7.1933,7.17,7.16,7.28,7.15,1673298000000,7059.0
MLGO,197916.0,1.4587,1.4,1.46,1.55,1.4,1673298000000,574.0
CLH,236698.0,117.2112,116.17,117.16,118.605,115.6478,1673298000000,7057.0
GDXD,590329.0,6.1752,5.99,6.39,6.4007,5.95,1673298000000,1439.0
AOMR,230459.0,6.7104,6.5,6.73,6.84,6.44,1673298000000,2458.0
CRDF,106106.0,1.4924,1.47,1.48,1.5198,1.47,1673298000000,533.0
PSApS,49370.0,17.8859,17.96,17.69,18.15,17.69,1673298000000,332.0
PMX,137020.0,8.3698,8.36,8.34,8.46,8.33,1673298000000,725.0
OLPX,8738835.0,6.034,5.74,6.05,6.13,5.66,1673298000000,30047.0
PNOV,21478.0,30.6206,30.49,30.4936,30.7653,30.49,1673298000000,38.0
ETJ,167131.0,7.5949,7.61,7.56,7.64,7.53,1673298000000,805.0
NMZ,521103.0,10.5583,10.53,10.54,10.62,10.5,1673298000000,1335.0
EWG,3640489.0,26.8341,26.75,26.71,26.945,26.69,1673298000000,8659.0
MVSTW,8902.0,0.2155,0.1869,0.2008,0.2299,0.1869,1673298000000,28.0
RVNC,11658042.0,28.5586,22.69,30.42,30.6,22.53,1673298000000,102114.0
DAPP,61011.0,3.1809,3.04,3.18,3.2999,3.02,1673298000000,411.0
INFN,1862523.0,7.1288,7.1,7.1,7.25,7.06,1673298000000,11542.0
RICK,111584.0,92.8647,94.05,91.36,94.89,91.24,1673298000000,3562.0
BKAG,1851805.0,42.5991,42.48,42.61,42.67,42.47,1673298000000,655.0
IETC,12199.0,41.914,41.51,41.52,42.2238,41.38,1673298000000,185.0
VFC,4621366.0,29.6681,29.55,29.57,30.195,28.9,1673298000000,42400.0
ACST,34833.5,4.1286,4.32,4.08,4.32,4.026,1673298000000,738.0
HRTG,139479.0,1.9246,1.85,1.98,1.995,1.82,1673298000000,687.0
RLI,160253.0,135.8532,136.67,135.11,138.05,134.6,1673298000000,4791.0
CEW,3329.0,17.0629,17.04,17.08,17.08,17.04,1673298000000,25.0
BFLY.WS,7700.0,0.2491,0.25,0.2402,0.26,0.2401,1673298000000,31.0
POWW,1148298.0,2.0125,1.94,2.03,2.06,1.93,1673298000000,6277.0
AMCIU,3137.0,10.2664,10.15,10.1501,10.605,10.15,1673298000000,45.0
TTSH,86291.0,4.59,4.5,4.6,4.64,4.49,1673298000000,1367.0
BIZD,151441.0,14.559,14.54,14.54,14.6,14.4826,1673298000000,635.0
APPF,106440.0,112.5357,112.93,112.07,115.15,111.5,1673298000000,3199.0
DRIP,4447843.0,14.5,14.34,14.72,14.8399,14.05,1673298000000,14556.0
GNLN,21640.3,3.62,3.685,3.566,3.685,3.52,1673298000000,548.0
ASTI,257.885,268.86,272.0,260.0,283.98,258.0,1673298000000,299.0
SGML,842504.0,27.1892,27.76,26.88,28.28,26.48,1673298000000,8252.0
ANGHW,17888.0,0.03562,0.0254,0.07,0.0724,0.0254,1673298000000,41.0
MDRR,937.625,5.744,5.68,5.816,5.816,5.6008,1673298000000,79.0
CNYA,113231.0,33.2073,33.21,33.14,33.32,33.12,1673298000000,692.0
CRVL,59345.0,145.7084,143.93,146.62,147.56,143.25,1673298000000,2388.0
SCHO,1121730.0,48.4957,48.47,48.5,48.51,48.46,1673298000000,3273.0
IBDQ,499733.0,24.4918,24.46,24.47,24.51,24.46,1673298000000,1403.0
PHUN,783405.0,0.9347,0.9319,0.9316,0.9576,0.9035,1673298000000,2650.0
ESTE,941085.0,13.6855,13.86,13.6,13.94,13.54,1673298000000,7522.0
PEAK,3552727.0,26.4036,26.64,26.27,26.74,26.27,1673298000000,25439.0
BCH,83535.0,20.1124,19.93,20.14,20.31,19.9,1673298000000,1163.0
AOK,852160.0,34.4997,34.39,34.46,34.575,34.39,1673298000000,1983.0
EPHYU,4353.0,10.0418,10.01,10.07,10.08,10.01,1673298000000,28.0
CIDM,241631.0,0.4747,0.4794,0.476,0.4795,0.47,1673298000000,785.0
GRNT,12123.0,8.9176,9.11,9.13,9.1999,8.7,1673298000000,147.0
